budget,country_of_origin,genre,global_ranking,num_of_ratings,rating,release_date,title,us_gross,worldwide_gross
85000000,USA,Crime comedy,363,231627,7.55,05.12.2001,Ocean's Eleven,183417150,450717150
,Poland,Drama,360,218225,7.56,13.08.2004,Wesele,,
35000000,USA,Crime,359,81758,7.67,14.05.1997,L.A. Confidential,64616940,126216940
30000000,USA,Moral drama,358,115716,7.62,26.06.2009,My Sister's Keeper,49200230,95714875
95000000,USA,Drama,357,85409,7.67,25.12.2019,1917,159227644,384579472
7000000,USA,Drama,356,111728,7.63,08.03.1996,Fargo,24611975,60611975
,United Kingdom,Family,361,324234,7.54,11.11.2010,Harry Potter and the Deathly Hallows: Part 1,296374621,977070383
,Sweden,Drama,355,53064,7.77,16.02.1957,Det sjunde inseglet,,
10000000,France,Drama,354,265890,7.55,25.04.2001,Le fabuleux destin d'Amélie Poulain,33225499,174122191
,France,Drama,352,38908,7.88,01.04.1995,Underground,,
9000000,USA,Drama,350,125868,7.61,23.01.2016,Manchester by the Sea,47695371,78988148
9000000,USA,Crime,353,195398,7.57,05.09.2000,Memento,25544867,40047078
,Poland,A comedy of manners.,351,107641,7.63,27.08.1971,Nie lubię poniedziałku,,
25000000,USA,Animation,349,163796,7.59,29.09.1991,Beauty and the Beast,218967620,424967620
5000000,Spain,Drama,348,137693,7.6,18.01.2004,El Maquinista,1082715,8203235
40000000,USA,Drama,347,80163,7.68,24.07.1996,A Time to Kill,108766007,152266007
40000000,United Kingdom,Comedy rom.,346,262544,7.55,07.09.2003,Love Actually,60221410,249772228
17500000,United Kingdom,Biographical,345,59881,7.75,11.09.2004,Hotel Rwanda,23530892,33882243
,France,Drama,344,44508,7.83,16.05.1994,Trois couleurs: Rouge,3581969,3600996
4800000,Poland,Melodrama,343,133514,7.61,10.05.2018,Zimna wojna,4580048,20346993
7000000,Australia,Costume,342,51806,7.79,15.05.1993,The Piano,40157856,40185556
20000000,USA,Thriller,341,165872,7.59,29.11.1990,Misery,61276872,61277271
,France,Melodrama,338,67391,7.73,10.01.1993,Trzy kolory: Niebieski,1324974,1387584
10000000,Dishes,Drama,339,60981,7.75,19.05.2003,Dogville,1535286,16689283
45000000,USA,Sensational,335,153387,7.6,16.03.2006,Inside Man,88513495,186003591
14000000,USA,Costume,337,50349,7.8,16.12.1988,Dangerous Liaisons,,34670720
70000000,USA,Drama,334,103083,7.65,04.12.2003,Big Fish,66809693,123218424
250000000,USA,Action,340,52298,7.79,03.05.2023,Guardians of the Galaxy Vol. 3,358995815,845555777
,Poland,Drama,336,58965,7.76,09.03.1962,Nóż w wodzie,,
,Poland,Drama,333,44473,7.84,września 1988,Krótki film o miłości,,
14000000,RFN,Drama,331,46908,7.83,17.09.1981,Das Boot,11487676,84970337
,Poland,Vice,330,33211,7.96,17.08.1979,Amator,,
,United Kingdom,Comedy,329,42842,7.86,28.09.1971,And Now for Something Completely Different,,
4000000,USA,A comedy of manners.,328,63237,7.75,,Annie Hall,38251425,38288028
58000000,USA,Comedy,332,347839,7.55,21.01.2016,Deadpool,363070709,782836791
,USA,Drama,327,54362,7.79,25.04.2011,Detachment,72689,1688710
50000000,USA,Drama,326,164410,7.6,04.09.2014,The Judge,47119388,84419388
,Poland,Biographical,325,129448,7.63,04.08.2016,Ostatnia rodzina,2284311,2284311
,Poland,Drama,324,32119,7.98,09.02.1965,Rękopis znaleziony w Saragossie,,
78000000,USA,Thriller,323,253943,7.57,30.09.2002,Red Dragon,93149898,209196298
4900000,Canada,Drama,322,40568,7.88,22.05.2014,Mommy,3494070,13156856
,France,Drama,321,43039,7.86,27.05.1995,La haine,,
12000000,United Kingdom,Drama,320,199320,7.59,27.06.2013,About Time,15322921,87100449
,Sweden,Biographical,318,70578,7.73,19.01.2012,Searching for Sugar Man,3696196,9216552
25000000,USA,Thriller,317,98758,7.67,26.02.1993,Falling Down,,40903593
90000000,USA,Drama,316,584784,7.54,07.12.2000,Cast Away,233632142,429632142
150000000,USA,Action,319,359896,7.55,31.05.2005,Batman Begins,206863479,373672993
25000000,USA,Biographical,315,110193,7.65,06.12.2010,The Fighter,93617009,129190869
,USA,Drama,314,53110,7.8,31.08.2009,The Butterfly Circus,,
25000000,USA,Drama,313,253322,7.58,04.09.2004,Finding Neverland,51680613,116650613
40000000,USA,Drama,312,174744,7.6,12.10.2000,Pay It Forward,33519628,55707411
20000000,USA,Crime,311,146195,7.62,05.09.2003,21 Grams,16290476,60466876
58800000,USA,Biographical,310,248783,7.58,11.11.2014,American Sniper,350159020,547459020
4000000,USA,Crime,309,82097,7.7,21.12.1971,Dirty Harry,,35988495
22000000,USA,Family,308,65234,7.75,19.01.2017,A Dog's Purpose,64508620,205035819
88000000,USA,Biographical,307,83390,7.7,23.05.2005,Cinderella Man,61649911,108539911
3500000,Italy,Melodrama,305,122329,7.65,22.01.2017,Call Me by Your Name,18095701,43143046
108000000,USA,Sci-Fi,304,282805,7.58,11.09.2015,The Martian,228433663,630620818
40000000,USA,Sensational,303,130113,7.64,29.07.1993,The Fugitive,183875760,368875760
5000000,United Kingdom,Drama,302,147289,7.63,19.05.2000,Billy Elliot,21995263,109283018
97000000,USA,Drama,306,169481,7.61,17.02.2017,Logan,226277068,619179950
27000000,USA,Thriller,301,342788,7.57,08.03.2011,Limitless,79249455,161849455
,,Animation,300,69427,7.74,02.11.2012,Paperman,,
6500000,USA,Drama,298,150740,7.63,10.09.2004,Crash,54580300,98410061
,Poland,Animation,297,88247,7.7,26.11.2004,Sztuka spadania,,
